den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,4214,Ústí nad Labem,541,139,85,1246,352,218,87,63,2030,4214,Ústí nad Labem,119338,23971,CZ042,Ústecký kraj,1274.5311635857815,20,False,0,1647.824454549247,20,True,2,26.65024630541872,30,False,0,0.6254335260115607,0,72
pátek,2020-11-13,4215,Varnsdorf,91,26,9,174,40,13,6,6,262,4215,Varnsdorf,19905,4211,CZ042,Ústecký kraj,914.3431298668677,16,True,0,973.6404654476371,20,True,2,34.73282442748092,30,True,2,1.0,10,80
pátek,2020-11-13,4216,Žatec,120,28,5,246,46,11,11,14,406,4216,Žatec,27373,5216,CZ042,Ústecký kraj,1081.3575421035328,20,False,0,1016.1042944785277,20,True,2,29.55665024630542,30,True,2,0.7792207792207793,0,74
pátek,2020-11-13,5101,Česká Lípa,440,86,34,885,154,52,62,51,1502,5101,Česká Lípa,76998,14036,CZ051,Liberecký kraj,1236.395750538975,20,False,0,1161.2995155314904,20,True,2,29.294274300932088,30,False,0,0.8477842003853564,5,77
pátek,2020-11-13,5102,Frýdlant,164,30,12,302,45,19,8,6,512,5102,Frýdlant,24479,4944,CZ051,Liberecký kraj,1356.2645532905756,20,True,0,1051.7799352750808,20,True,2,32.03125,30,False,0,0.9318181818181818,5,77
pátek,2020-11-13,5103,Jablonec nad Nisou,364,86,43,833,158,72,39,20,1167,5103,Jablonec nad Nisou,56206,11517,CZ051,Liberecký kraj,1652.8484503433797,20,False,0,1467.3960232699487,20,True,2,31.191088260497,30,False,0,0.6893939393939394,0,72
pátek,2020-11-13,5104,Jilemnice,119,19,9,274,49,21,16,15,410,5104,Jilemnice,22137,4768,CZ051,Liberecký kraj,1481.6822514342502,20,False,0,1132.5503355704698,20,True,2,29.024390243902438,30,False,0,0.7,0,72
pátek,2020-11-13,5105,Liberec,798,119,52,1778,288,123,71,44,2729,5105,Liberec,145676,28910,CZ051,Liberecký kraj,1371.536835168456,20,False,0,1061.916291940505,20,True,2,29.24148039574936,30,False,0,0.7080745341614907,0,72
pátek,2020-11-13,5106,Nový Bor,122,26,11,276,58,21,18,13,494,5106,Nový Bor,26302,5736,CZ051,Liberecký kraj,1182.4195878640407,20,False,0,1011.1576011157601,20,True,2,24.696356275303643,25,False,0,0.7577639751552795,0,67
pátek,2020-11-13,5107,Semily,156,30,10,467,108,63,35,22,564,5107,Semily,25675,5599,CZ051,Liberecký kraj,2251.2171372930866,20,False,0,2018.2175388462224,20,True,2,27.659574468085108,30,False,0,0.45217391304347826,0,72
pátek,2020-11-13,5108,Tanvald,96,13,7,248,41,20,14,5,328,5108,Tanvald,20412,4465,CZ051,Liberecký kraj,1391.3384283754654,20,False,0,1119.8208286674133,20,True,2,29.268292682926827,30,False,0,0.5647058823529412,0,72
pátek,2020-11-13,5109,Turnov,209,47,19,459,93,39,28,17,598,5109,Turnov,33623,7134,CZ051,Liberecký kraj,1475.1806798917407,20,False,0,1401.7381553125877,20,True,2,34.94983277591973,30,True,2,0.7411347517730497,0,74
